timestamp,frame_id,loop_dt,redis_age,mode,risk_score,roll,pitch,yaw,max_tracking_error,rms_tracking_error,max_torque_ratio,ramp
1782218184.359752,35,0.004518,0.000000,TRACKING,0.010585,0.000000,0.000000,0.000000,0.058513,0.020145,0.000000,0.137703
1782218184.377454,36,0.002125,0.000000,TRACKING,0.006862,0.000000,0.000000,0.000000,0.060507,0.020830,0.000000,0.141242
1782218184.397130,37,0.001700,0.000000,TRACKING,0.006286,0.000000,0.000000,0.000000,0.062075,0.021365,0.000000,0.145176
1782218184.417793,38,0.002261,0.000000,TRACKING,0.007297,0.000000,0.000000,0.000000,0.063814,0.021960,0.000000,0.149310
1782218184.437960,39,0.002326,0.000000,TRACKING,0.007523,0.000000,0.000000,0.000000,0.065643,0.022587,0.000000,0.153342
1782218184.458092,40,0.002356,0.000000,TRACKING,0.007674,0.000000,0.000000,0.000000,0.067423,0.023198,0.000000,0.157369
1782218184.478520,41,0.002621,0.000000,TRACKING,0.008231,0.000000,0.000000,0.000000,0.069191,0.023806,0.000000,0.161455
1782218184.498423,42,0.002352,0.000000,TRACKING,0.008060,0.000000,0.000000,0.000000,0.070988,0.024424,0.000000,0.165448
1782218184.518150,43,0.001943,0.000000,TRACKING,0.007615,0.000000,0.000000,0.000000,0.072737,0.025027,0.000000,0.169399
1782218184.537694,44,0.001363,0.000000,TRACKING,0.006680,0.000000,0.000000,0.000000,0.074468,0.025625,0.000000,0.173292
1782218184.558226,45,0.001807,0.000000,TRACKING,0.007438,0.000000,0.000000,0.000000,0.076179,0.026214,0.000000,0.177398
1782218184.578571,46,0.002066,0.000000,TRACKING,0.007984,0.000000,0.000000,0.000000,0.077987,0.026835,0.000000,0.181468
1782218184.598500,47,0.001908,0.000000,TRACKING,0.007862,0.000000,0.000000,0.000000,0.079780,0.027450,0.000000,0.185455
1782218184.618113,48,0.001436,0.000000,TRACKING,0.007231,0.000000,0.000000,0.000000,0.081533,0.028053,0.000000,0.189378
1782218184.639075,49,0.002309,0.000000,TRACKING,0.008683,0.000000,0.000000,0.000000,0.083257,0.028646,0.000000,0.193567
1782218184.658848,50,0.001994,0.000000,TRACKING,0.008343,0.000000,0.000000,0.000000,0.085099,0.029280,0.000000,0.197524
1782218184.678873,51,0.001932,0.000000,TRACKING,0.008359,0.000000,0.000000,0.000000,0.086838,0.029878,0.000000,0.201530
1782218184.698978,52,0.001955,0.000000,TRACKING,0.008508,0.000000,0.000000,0.000000,0.088599,0.030484,0.000000,0.205551
1782218184.718976,53,0.001871,0.000000,TRACKING,0.008500,0.000000,0.000000,0.000000,0.090367,0.031093,0.000000,0.209551
1782218184.738303,54,0.001135,0.000000,TRACKING,0.007573,0.000000,0.000000,0.000000,0.092126,0.031698,0.000000,0.213429
1782218184.758399,55,0.001102,0.000000,TRACKING,0.007661,0.000000,0.000000,0.000000,0.093830,0.032284,0.000000,0.217449
1782218184.779128,56,0.001710,0.000000,TRACKING,0.008719,0.000000,0.000000,0.000000,0.095598,0.032892,0.000000,0.221593
1782218184.798911,57,0.001352,0.000000,TRACKING,0.008251,0.000000,0.000000,0.000000,0.097419,0.033519,0.000000,0.225549
1782218184.819964,58,0.002316,0.000000,TRACKING,0.009702,0.000000,0.000000,0.000000,0.099159,0.034118,0.000000,0.229743
1782218184.839906,59,0.002115,0.000000,TRACKING,0.009494,0.000000,0.000000,0.000000,0.101002,0.034752,0.000000,0.233730
1782218184.859494,60,0.001599,0.000000,TRACKING,0.009029,0.000000,0.000000,0.000000,0.102755,0.035355,0.000000,0.237669
1782218184.879137,61,0.001116,0.000000,TRACKING,0.008425,0.000000,0.000000,0.000000,0.104487,0.035951,0.000000,0.241600
1782218184.899278,62,0.001180,0.000000,TRACKING,0.008581,0.000000,0.000000,0.000000,0.106215,0.036546,0.000000,0.245624
1782218184.919361,63,0.001184,0.000000,TRACKING,0.008739,0.000000,0.000000,0.000000,0.107984,0.037154,0.000000,0.249644
1782218184.939713,64,0.001451,0.000000,TRACKING,0.009031,0.000000,0.000000,0.000000,0.109751,0.037762,0.000000,0.253693
1782218184.959836,65,0.001482,0.000000,TRACKING,0.009246,0.000000,0.000000,0.000000,0.111531,0.038375,0.000000,0.257720
1782218184.980138,66,0.001697,0.000000,TRACKING,0.009683,0.000000,0.000000,0.000000,0.113302,0.038984,0.000000,0.261781
1782218184.999914,67,0.001382,0.000000,TRACKING,0.009314,0.000000,0.000000,0.000000,0.115087,0.039598,0.000000,0.265735
1782218185.020063,68,0.001433,0.000000,TRACKING,0.009533,0.000000,0.000000,0.000000,0.116825,0.040196,0.000000,0.269768
1782218185.040711,69,0.001993,0.000000,TRACKING,0.010547,0.000000,0.000000,0.000000,0.118598,0.040806,0.000000,0.273898
1782218185.060621,70,0.001815,0.000000,TRACKING,0.010380,0.000000,0.000000,0.000000,0.120414,0.041431,0.000000,0.277879
1782218185.080470,71,0.001554,0.000000,TRACKING,0.010227,0.000000,0.000000,0.000000,0.122164,0.042033,0.000000,0.281862
1782218185.100737,72,0.001698,0.000000,TRACKING,0.010548,0.000000,0.000000,0.000000,0.123915,0.042636,0.000000,0.285915
1782218185.120488,73,0.001314,0.000000,TRACKING,0.010071,0.000000,0.000000,0.000000,0.125697,0.043249,0.000000,0.289866
1782218185.140844,74,0.001556,0.000000,TRACKING,0.010608,0.000000,0.000000,0.000000,0.127434,0.043846,0.000000,0.293940
1782218185.160490,75,0.001122,0.000000,TRACKING,0.009990,0.000000,0.000000,0.000000,0.129225,0.044463,0.000000,0.297865
1782218185.180792,76,0.001343,0.000000,TRACKING,0.010511,0.000000,0.000000,0.000000,0.130951,0.045056,0.000000,0.301930
1782218185.201375,77,0.001852,0.000000,TRACKING,0.011389,0.000000,0.000000,0.000000,0.132738,0.045671,0.000000,0.306042
1782218185.221228,78,0.001629,0.000000,TRACKING,0.011162,0.000000,0.000000,0.000000,0.134546,0.046293,0.000000,0.310014
1782218185.241405,79,0.001728,0.000000,TRACKING,0.011433,0.000000,0.000000,0.000000,0.136292,0.046894,0.000000,0.314049
1782218185.261608,80,0.001855,0.000000,TRACKING,0.011580,0.000000,0.000000,0.000000,0.138066,0.047505,0.000000,0.318075
1782218185.281920,81,0.002080,0.000000,TRACKING,0.012050,0.000000,0.000000,0.000000,0.139836,0.048114,0.000000,0.322136
1782218185.302068,82,0.002144,0.000000,TRACKING,0.012274,0.000000,0.000000,0.000000,0.141621,0.048728,0.000000,0.326167
1782218185.321975,83,0.001933,0.000000,TRACKING,0.012034,0.000000,0.000000,0.000000,0.143393,0.049338,0.000000,0.330147
1782218185.342295,84,0.002166,0.000000,TRACKING,0.012525,0.000000,0.000000,0.000000,0.145143,0.049940,0.000000,0.334211
1782218185.362187,85,0.001933,0.000000,TRACKING,0.012280,0.000000,0.000000,0.000000,0.146930,0.050554,0.000000,0.338190
1782218185.381669,86,0.001291,0.000000,TRACKING,0.011384,0.000000,0.000000,0.000000,0.148679,0.051156,0.000000,0.342087
1782218185.402240,87,0.001779,0.000000,TRACKING,0.012263,0.000000,0.000000,0.000000,0.150392,0.051746,0.000000,0.346201
1782218185.422797,88,0.002177,0.000000,TRACKING,0.012999,0.000000,0.000000,0.000000,0.152201,0.052368,0.000000,0.350311
1782218185.442571,89,0.001825,0.000000,TRACKING,0.012573,0.000000,0.000000,0.000000,0.154008,0.052990,0.000000,0.354267
1782218185.462232,90,0.001342,0.000000,TRACKING,0.011917,0.000000,0.000000,0.000000,0.155747,0.053588,0.000000,0.358199
1782218185.483336,91,0.002317,0.000000,TRACKING,0.013516,0.000000,0.000000,0.000000,0.157475,0.054183,0.000000,0.362415
1782218185.503361,92,0.002216,0.000000,TRACKING,0.013536,0.000000,0.000000,0.000000,0.159329,0.054821,0.000000,0.366425
1782218185.523436,93,0.002165,0.000000,TRACKING,0.013552,0.000000,0.000000,0.000000,0.161092,0.055427,0.000000,0.370439
1782218185.543256,94,0.001897,0.000000,TRACKING,0.013254,0.000000,0.000000,0.000000,0.162857,0.056034,0.000000,0.374403
1782218185.563437,95,0.001991,0.000000,TRACKING,0.013535,0.000000,0.000000,0.000000,0.164599,0.056634,0.000000,0.378442
1782218185.583112,96,0.001544,0.000000,TRACKING,0.012960,0.000000,0.000000,0.000000,0.166375,0.057245,0.000000,0.382377
1782218185.603296,97,0.001588,0.000000,TRACKING,0.013124,0.000000,0.000000,0.000000,0.168105,0.057840,0.000000,0.386412
1782218185.623636,98,0.001777,0.000000,TRACKING,0.013527,0.000000,0.000000,0.000000,0.169879,0.058451,0.000000,0.390479
1782218185.643434,99,0.001444,0.000000,TRACKING,0.013133,0.000000,0.000000,0.000000,0.171667,0.059066,0.000000,0.394441
1782218185.663666,100,0.001550,0.000000,TRACKING,0.013390,0.000000,0.000000,0.000000,0.173409,0.059665,0.000000,0.398485
1782218185.683853,101,0.001608,0.000000,RECOVERY,1.000000,0.000000,0.000000,0.000000,0.175186,0.060277,0.000000,1.000000
1782218185.703942,102,0.001611,0.000000,RECOVERY,1.000000,0.000000,0.000000,0.000000,0.095186,0.026854,0.000000,1.000000
1782218185.723970,103,0.001509,0.000000,RECOVERY,1.000000,0.000000,0.000000,0.000000,0.042785,0.014721,0.000000,1.000000
1782218185.744012,104,0.001424,0.000000,RECOVERY,1.000000,0.000000,0.000000,0.000000,0.041611,0.014317,0.000000,1.000000
1782218185.764687,105,0.001960,0.000000,RECOVERY,1.000000,0.000000,0.000000,0.000000,0.040436,0.013913,0.000000,1.000000
1782218185.783947,106,0.001102,0.000000,RECOVERY,1.000000,0.000000,0.000000,0.000000,0.039224,0.013496,0.000000,1.000000
1782218185.804279,107,0.001357,0.000000,RECOVERY,1.000000,0.000000,0.000000,0.000000,0.038091,0.013106,0.000000,1.000000
1782218185.825650,108,0.002646,0.000000,RECOVERY,1.000000,0.000000,0.000000,0.000000,0.036901,0.012697,0.000000,1.000000
1782218185.844503,109,0.001418,0.000000,RECOVERY,1.000000,0.000000,0.000000,0.000000,0.035645,0.012264,0.000000,1.000000
1782218185.864591,110,0.001417,0.000000,RECOVERY,1.000000,0.000000,0.000000,0.000000,0.034540,0.011884,0.000000,1.000000
1782218185.884212,111,0.000984,0.000000,RECOVERY,1.000000,0.000000,0.000000,0.000000,0.033363,0.011479,0.000000,1.000000
1782218185.904583,112,0.001276,0.000000,RECOVERY,1.000000,0.000000,0.000000,0.000000,0.032213,0.011084,0.000000,1.000000
1782218185.924983,113,0.001605,0.000000,RECOVERY,1.000000,0.000000,0.000000,0.000000,0.031018,0.010672,0.000000,1.000000
1782218185.945226,114,0.001774,0.000000,RECOVERY,1.000000,0.000000,0.000000,0.000000,0.029823,0.010261,0.000000,1.000000
1782218185.965134,115,0.001606,0.000000,RECOVERY,1.000000,0.000000,0.000000,0.000000,0.028637,0.009853,0.000000,1.000000
1782218185.984715,116,0.001111,0.000000,RECOVERY,1.000000,0.000000,0.000000,0.000000,0.027470,0.009452,0.000000,1.000000
1782218186.005391,117,0.001708,0.000000,RECOVERY,1.000000,0.000000,0.000000,0.000000,0.026322,0.009056,0.000000,1.000000
1782218186.025451,118,0.001684,0.000000,RECOVERY,1.000000,0.000000,0.000000,0.000000,0.025110,0.008640,0.000000,1.000000
1782218186.045506,119,0.001664,0.000000,RECOVERY,1.000000,0.000000,0.000000,0.000000,0.023934,0.008235,0.000000,1.000000
1782218186.065666,120,0.001746,0.000000,RECOVERY,1.000000,0.000000,0.000000,0.000000,0.022759,0.007831,0.000000,1.000000
1782218186.085466,121,0.001415,0.000000,RECOVERY,1.000000,0.000000,0.000000,0.000000,0.021577,0.007424,0.000000,1.000000
1782218186.105949,122,0.001773,0.000000,RECOVERY,1.000000,0.000000,0.000000,0.000000,0.020416,0.007025,0.000000,1.000000
1782218186.125428,123,0.001120,0.000000,RECOVERY,1.000000,0.000000,0.000000,0.000000,0.019216,0.006612,0.000000,1.000000
1782218186.146369,124,0.001930,0.000000,RECOVERY,1.000000,0.000000,0.000000,0.000000,0.018074,0.006219,0.000000,1.000000
1782218186.166442,125,0.001915,0.000000,RECOVERY,1.000000,0.000000,0.000000,0.000000,0.016852,0.005798,0.000000,1.000000
1782218186.185952,126,0.001337,0.000000,RECOVERY,0.002734,0.000000,0.000000,0.000000,0.015674,0.005393,0.000000,1.000000
1782218186.206514,127,0.001810,0.000000,RECOVERY,0.003388,0.000000,0.000000,0.000000,0.014530,0.004999,0.000000,1.000000
1782218186.226903,128,0.002102,0.000000,RECOVERY,0.003779,0.000000,0.000000,0.000000,0.013326,0.004585,0.000000,1.000000
1782218186.246604,129,0.001718,0.000000,RECOVERY,0.003265,0.000000,0.000000,0.000000,0.012130,0.004174,0.000000,1.000000
1782218186.266605,130,0.001643,0.000000,RECOVERY,0.003079,0.000000,0.000000,0.000000,0.010971,0.003775,0.000000,1.000000
1782218186.286064,131,0.001027,0.000000,RECOVERY,0.002019,0.000000,0.000000,0.000000,0.009798,0.003371,0.000000,1.000000
1782218186.306471,132,0.001357,0.000000,RECOVERY,0.002465,0.000000,0.000000,0.000000,0.008658,0.002979,0.000000,1.000000
1782218186.326766,133,0.001575,0.000000,RECOVERY,0.002743,0.000000,0.000000,0.000000,0.007461,0.002567,0.000000,1.000000
1782218186.346598,134,0.001331,0.000000,RECOVERY,0.002266,0.000000,0.000000,0.000000,0.006272,0.002158,0.000000,1.000000
1782218186.366930,135,0.001575,0.000000,RECOVERY,0.002634,0.000000,0.000000,0.000000,0.005109,0.001758,0.000000,1.000000
1782218186.386811,136,0.001394,0.000000,RECOVERY,0.002115,0.000000,0.000000,0.000000,0.003916,0.001347,0.000000,1.000000
1782218186.407285,137,0.001751,0.000000,RECOVERY,0.002714,0.000000,0.000000,0.000000,0.002753,0.000947,0.000000,1.000000
1782218186.427060,138,0.001402,0.000000,RECOVERY,0.002123,0.000000,0.000000,0.000000,0.001552,0.000534,0.000000,1.000000
1782218186.447237,139,0.001457,0.000000,RECOVERY,0.002075,0.000000,0.000000,0.000000,0.000392,0.000135,0.000000,1.000000
1782218186.467151,140,0.001239,0.000000,TRACKING,0.001699,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000001
1782218186.487205,141,0.001173,0.000000,TRACKING,0.001616,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.020056
1782218186.507297,142,0.001135,0.000000,TRACKING,0.002138,0.000000,0.000000,0.000000,0.008817,0.003034,0.000000,0.040155
1782218186.527346,143,0.001055,0.000000,TRACKING,0.002613,0.000000,0.000000,0.000000,0.017653,0.006074,0.000000,0.060215
1782218186.547570,144,0.001155,0.000000,TRACKING,0.003369,0.000000,0.000000,0.000000,0.026472,0.009108,0.000000,0.080434
1782218186.567950,145,0.001454,0.000000,TRACKING,0.004326,0.000000,0.000000,0.000000,0.035361,0.012167,0.000000,0.100804
1782218186.588083,146,0.001508,0.000000,TRACKING,0.005042,0.000000,0.000000,0.000000,0.044317,0.015248,0.000000,0.120928
1782218186.607982,147,0.001279,0.000000,TRACKING,0.005304,0.000000,0.000000,0.000000,0.053164,0.018292,0.000000,0.140850
1782218186.628004,148,0.001167,0.000000,TRACKING,0.005692,0.000000,0.000000,0.000000,0.061922,0.021306,0.000000,0.160867
1782218186.648063,149,0.001109,0.000000,TRACKING,0.006203,0.000000,0.000000,0.000000,0.070722,0.024333,0.000000,0.180933
1782218186.668870,150,0.001793,0.000000,TRACKING,0.007816,0.000000,0.000000,0.000000,0.079544,0.027369,0.000000,0.201716
1782218186.689047,151,0.001844,0.000000,TRACKING,0.008498,0.000000,0.000000,0.000000,0.088681,0.030513,0.000000,0.221895
1782218186.708996,152,0.001693,0.000000,TRACKING,0.008839,0.000000,0.000000,0.000000,0.097552,0.033565,0.000000,0.241842
1782218186.729170,153,0.001791,0.000000,TRACKING,0.009590,0.000000,0.000000,0.000000,0.106321,0.036582,0.000000,0.262029
1782218186.749089,154,0.001635,0.000000,TRACKING,0.009910,0.000000,0.000000,0.000000,0.115196,0.039636,0.000000,0.281938
1782218186.769200,155,0.001669,0.000000,TRACKING,0.010567,0.000000,0.000000,0.000000,0.123949,0.042647,0.000000,0.302069
1782218186.789447,156,0.001840,0.000000,TRACKING,0.011326,0.000000,0.000000,0.000000,0.132799,0.045692,0.000000,0.322279
1782218186.808827,157,0.001132,0.000000,TRACKING,0.010835,0.000000,0.000000,0.000000,0.141684,0.048749,0.000000,0.341674
1782218186.829598,158,0.001824,0.000000,TRACKING,0.012507,0.000000,0.000000,0.000000,0.150210,0.051683,0.000000,0.362449
1782218186.849424,159,0.001576,0.000000,TRACKING,0.012758,0.000000,0.000000,0.000000,0.159344,0.054826,0.000000,0.382295
1782218186.869616,160,0.001693,0.000000,TRACKING,0.013464,0.000000,0.000000,0.000000,0.168069,0.057828,0.000000,0.402466
1782218186.889769,161,0.001718,0.000000,TRACKING,0.014087,0.000000,0.000000,0.000000,0.176936,0.060879,0.000000,0.422618
1782218186.909822,162,0.001643,0.000000,TRACKING,0.014548,0.000000,0.000000,0.000000,0.185796,0.063927,0.000000,0.442673
1782218186.930071,163,0.001768,0.000000,TRACKING,0.015323,0.000000,0.000000,0.000000,0.194613,0.066961,0.000000,0.462922
1782218186.949978,164,0.001540,0.000000,TRACKING,0.015542,0.000000,0.000000,0.000000,0.203515,0.070024,0.000000,0.482827
1782218186.970260,165,0.001700,0.000000,TRACKING,0.016409,0.000000,0.000000,0.000000,0.212266,0.073035,0.000000,0.503129
1782218186.990651,166,0.001971,0.000000,TRACKING,0.017343,0.000000,0.000000,0.000000,0.221191,0.076106,0.000000,0.523488
1782218187.009909,167,0.001101,0.000000,TRACKING,0.016581,0.000000,0.000000,0.000000,0.230141,0.079185,0.000000,0.542756
1782218187.030571,168,0.001637,0.000000,TRACKING,0.017993,0.000000,0.000000,0.000000,0.238613,0.082100,0.000000,0.563420
1782218187.050650,169,0.001565,0.000000,TRACKING,0.018475,0.000000,0.000000,0.000000,0.247697,0.085226,0.000000,0.583501
1782218187.071123,170,0.001915,0.000000,TRACKING,0.019601,0.000000,0.000000,0.000000,0.256525,0.088263,0.000000,0.603970
1782218187.091192,171,0.001860,0.000000,TRACKING,0.020064,0.000000,0.000000,0.000000,0.265524,0.091359,0.000000,0.624019
1782218187.110971,172,0.001548,0.000000,TRACKING,0.020133,0.000000,0.000000,0.000000,0.274338,0.094392,0.000000,0.643805
1782218187.130733,173,0.001168,0.000000,TRACKING,0.020155,0.000000,0.000000,0.000000,0.283037,0.097385,0.000000,0.663579
1782218187.151327,174,0.001641,0.000000,TRACKING,0.021510,0.000000,0.000000,0.000000,0.291730,0.100376,0.000000,0.684198
1782218187.171314,175,0.001496,0.000000,TRACKING,0.021830,0.000000,0.000000,0.000000,0.300795,0.103495,0.000000,0.700030
1782218187.191116,176,0.001174,0.000000,TRACKING,0.021783,0.000000,0.000000,0.000000,0.307755,0.105890,0.000000,0.703992
1782218187.211083,177,0.001021,0.000000,TRACKING,0.021664,0.000000,0.000000,0.000000,0.309497,0.106489,0.000000,0.707986
1782218187.231406,178,0.001215,0.000000,TRACKING,0.022126,0.000000,0.000000,0.000000,0.311253,0.107093,0.000000,0.712053
1782218187.251344,179,0.001028,0.000000,TRACKING,0.021936,0.000000,0.000000,0.000000,0.313041,0.107708,0.000000,0.716041
1782218187.271459,180,0.000999,0.000000,TRACKING,0.022031,0.000000,0.000000,0.000000,0.314794,0.108312,0.000000,0.720065
1782218187.291824,181,0.001245,0.000000,TRACKING,0.022313,0.000000,0.000000,0.000000,0.316563,0.108920,0.000000,0.724119
1782218187.312448,182,0.001751,0.000000,TRACKING,0.023222,0.000000,0.000000,0.000000,0.318345,0.109534,0.000000,0.728243
1782218187.333144,183,0.002323,0.000000,TRACKING,0.024240,0.000000,0.000000,0.000000,0.320158,0.110157,0.000000,0.732382
1782218187.353319,184,0.002408,0.000000,TRACKING,0.024506,0.000000,0.000000,0.000000,0.321978,0.110783,0.000000,0.736417
1782218187.373214,185,0.002218,0.000000,TRACKING,0.024309,0.000000,0.000000,0.000000,0.323752,0.111394,0.000000,0.740394
1782218187.392729,186,0.001649,0.000000,TRACKING,0.023545,0.000000,0.000000,0.000000,0.325500,0.111995,0.000000,0.744300
1782218187.412908,187,0.001744,0.000000,TRACKING,0.023967,0.000000,0.000000,0.000000,0.327217,0.112586,0.000000,0.748350
1782218187.432357,188,0.001060,0.000000,TRACKING,0.023002,0.000000,0.000000,0.000000,0.328998,0.113199,0.000000,0.752240
1782218187.453257,189,0.001882,0.000000,TRACKING,0.024127,0.000000,0.000000,0.000000,0.330708,0.113787,0.000000,0.756383
1782218187.473250,190,0.001784,0.000000,TRACKING,0.024430,0.000000,0.000000,0.000000,0.332530,0.114414,0.000000,0.760423
1782218187.493230,191,0.001689,0.000000,TRACKING,0.024396,0.000000,0.000000,0.000000,0.334305,0.115025,0.000000,0.764419
1782218187.513053,192,0.001439,0.000000,TRACKING,0.024034,0.000000,0.000000,0.000000,0.336062,0.115630,0.000000,0.768375
1782218187.532856,193,0.001168,0.000000,TRACKING,0.023751,0.000000,0.000000,0.000000,0.337801,0.116228,0.000000,0.772340
1782218187.553631,194,0.001852,0.000000,TRACKING,0.024912,0.000000,0.000000,0.000000,0.339545,0.116828,0.000000,0.776493
1782218187.573460,195,0.001586,0.000000,TRACKING,0.024426,0.000000,0.000000,0.000000,0.341370,0.117456,0.000000,0.780443
1782218187.593631,196,0.001661,0.000000,TRACKING,0.024689,0.000000,0.000000,0.000000,0.343107,0.118053,0.000000,0.784478
1782218187.613356,197,0.001298,0.000000,TRACKING,0.024280,0.000000,0.000000,0.000000,0.344881,0.118664,0.000000,0.788428
1782218187.634156,198,0.002013,0.000000,TRACKING,0.025515,0.000000,0.000000,0.000000,0.346617,0.119261,0.000000,0.792586
1782218187.653513,199,0.001287,0.000000,TRACKING,0.024487,0.000000,0.000000,0.000000,0.348445,0.119890,0.000000,0.796458
1782218187.673590,200,0.001277,0.000000,TRACKING,0.024594,0.000000,0.000000,0.000000,0.350148,0.120476,0.000000,0.800474
1782218187.694210,201,0.001814,0.000000,TRACKING,0.025641,0.000000,0.000000,0.000000,0.351913,0.121083,0.000000,0.804605
1782218187.714174,202,0.001695,0.000000,TRACKING,0.025623,0.000000,0.000000,0.000000,0.353729,0.121708,0.000000,0.808606
1782218187.734032,203,0.001478,0.000000,TRACKING,0.025402,0.000000,0.000000,0.000000,0.355488,0.122314,0.000000,0.812575
1782218187.754346,204,0.001696,0.000000,TRACKING,0.025842,0.000000,0.000000,0.000000,0.357233,0.122914,0.000000,0.816635
1782218187.773952,205,0.001231,0.000000,TRACKING,0.025208,0.000000,0.000000,0.000000,0.359018,0.123528,0.000000,0.820557
1782218187.794505,206,0.001700,0.000000,TRACKING,0.026099,0.000000,0.000000,0.000000,0.360742,0.124121,0.000000,0.824672
